"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2003","2,181.00","2,123.00","2,240.00","2,123.00","","2.64%"
"06/01/2003","2,125.00","2,116.00","2,154.00","2,116.00","","-0.09%"
"05/01/2003","2,127.00","2,145.00","2,337.00","2,127.00","","-0.70%"
"04/01/2003","2,142.00","1,943.00","2,142.00","1,943.00","","10.47%"
"03/01/2003","1,939.00","1,762.00","1,940.00","1,748.00","","9.92%"
"02/01/2003","1,764.00","1,530.00","1,768.00","1,530.00","","15.29%"
"01/01/2003","1,530.00","1,738.00","1,761.00","1,530.00","","-11.97%"
"12/01/2002","1,738.00","1,573.00","1,739.00","1,573.00","","11.41%"
"11/01/2002","1,560.00","1,428.00","1,560.00","1,428.00","","10.09%"
"10/01/2002","1,417.00","1,371.00","1,417.00","1,334.00","","3.66%"
"09/01/2002","1,367.00","1,039.00","1,367.00","1,039.00","","31.95%"
"08/01/2002","1,036.00","970.00","1,036.00","970.00","","7.02%"
"07/01/2002","968.00","1,005.00","1,007.00","962.00","","-3.68%"
"06/01/2002","1,005.00","1,027.00","1,027.00","978.00","","-3.55%"
"05/01/2002","1,042.00","1,020.00","1,046.00","1,016.00","","1.46%"
"04/01/2002","1,027.00","1,081.00","1,104.00","1,027.00","","-5.08%"
"03/01/2002","1,082.00","1,033.00","1,086.00","1,033.00","","4.95%"
"02/01/2002","1,031.00","908.00","1,031.00","908.00","","13.55%"
"01/01/2002","908.00","882.00","969.00","882.00","","3.65%"
"12/01/2001","876.00","868.00","876.00","865.00","","0.92%"
"11/01/2001","868.00","853.00","868.00","843.00","","0.81%"
"10/01/2001","861.00","939.00","939.00","861.00","","-9.56%"
"09/01/2001","952.00","918.00","995.00","898.00","","2.70%"
"08/01/2001","927.00","1,037.00","1,037.00","927.00","","-11.63%"
"07/01/2001","1,049.00","1,380.00","1,380.00","1,049.00","","-24.31%"
"06/01/2001","1,386.00","1,382.00","1,394.00","1,355.00","","-0.22%"
"05/01/2001","1,389.00","1,453.00","1,481.00","1,389.00","","-4.80%"
"04/01/2001","1,459.00","1,430.00","1,463.00","1,423.00","","1.46%"
"03/01/2001","1,438.00","1,538.00","1,538.00","1,438.00","","-6.44%"
"02/01/2001","1,537.00","1,493.00","1,537.00","1,445.00","","2.19%"
"01/01/2001","1,504.00","1,599.00","1,599.00","1,504.00","","-5.94%"
"12/01/2000","1,599.00","1,664.00","1,664.00","1,581.00","","-4.37%"
"11/01/2000","1,672.00","1,759.00","1,762.00","1,672.00","","-4.95%"
"10/01/2000","1,759.00","1,735.00","1,759.00","1,718.00","","1.15%"
"09/01/2000","1,739.00","1,661.00","1,740.00","1,661.00","","5.27%"
"08/01/2000","1,652.00","1,645.00","1,652.00","1,627.00","","0.61%"
"07/01/2000","1,642.00","1,613.00","1,642.00","1,600.00","","1.61%"
"06/01/2000","1,616.00","1,562.00","1,626.00","1,559.00","","3.19%"
"05/01/2000","1,566.00","1,622.00","1,622.00","1,566.00","","-3.81%"
"04/01/2000","1,628.00","1,669.00","1,686.00","1,628.00","","-1.93%"
"03/01/2000","1,660.00","1,547.00","1,660.00","1,547.00","","8.43%"
"02/01/2000","1,531.00","1,311.00","1,531.00","1,276.00","","16.07%"
"01/01/2000","1,319.00","1,320.00","1,406.00","1,319.00","","0.00%"
"12/01/1999","1,319.00","1,344.00","1,360.00","1,319.00","","-2.37%"
"11/01/1999","1,351.00","1,334.00","1,356.00","1,296.00","","0.00%"
"10/01/1999","1,351.00","1,257.00","1,406.00","1,257.00","","8.69%"
"09/01/1999","1,243.00","1,039.00","1,243.00","1,038.00","","19.75%"
"08/01/1999","1,038.00","1,013.00","1,066.00","1,013.00","","3.49%"
"07/01/1999","1,003.00","960.00","1,003.00","947.00","","3.40%"
"06/01/1999","970.00","975.00","1,027.00","955.00","","-1.22%"
"05/01/1999","982.00","1,095.00","1,125.00","982.00","","-9.99%"
"04/01/1999","1,091.00","891.00","1,091.00","854.00","","20.95%"
"03/01/1999","902.00","978.00","1,001.00","902.00","","-6.43%"
"02/01/1999","964.00","816.00","964.00","794.00","","16.57%"
"01/01/1999","827.00","784.00","848.00","776.00","","4.55%"
"12/01/1998","791.00","935.00","935.00","791.00","","-15.94%"
"11/01/1998","941.00","958.00","966.00","941.00","","-1.47%"
"10/01/1998","955.00","959.00","1,008.00","954.00","","0.95%"
"09/01/1998","946.00","817.00","946.00","817.00","","15.79%"
"08/01/1998","817.00","822.00","822.00","780.00","","-0.97%"
"07/01/1998","825.00","849.00","850.00","825.00","","-3.62%"
"06/01/1998","856.00","941.00","941.00","856.00","","-9.51%"
"05/01/1998","946.00","1,001.00","1,004.00","946.00","","-5.78%"
"04/01/1998","1,004.00","960.00","1,011.00","952.00","","3.93%"
"03/01/1998","966.00","1,088.00","1,105.00","966.00","","-10.56%"
"02/01/1998","1,080.00","1,026.00","1,080.00","932.00","","3.95%"
"01/01/1998","1,039.00","1,232.00","1,232.00","1,039.00","","-15.60%"
